name,year,venue,paper_url,data_url,content,annotations,tags,note,category
LIVE-YT-HFR,2021,Access,https://arxiv.org/abs/2007.11634,https://live.ece.utexas.edu/research/LIVE_YT_HFR/LIVE_YT_HFR/index.html,"480 videos, 16 contents, 1080p and 4K","19,000 ratings, 85 subjects",VQA SYNTHETIC,"Frame rate and compression interaction, from 24 to 120 fps",video
LIVE-NFLX-II,2021,TIP,https://arxiv.org/abs/1808.03898,https://live.ece.utexas.edu/research/LIVE_NFLX_II/live_nflx_plus.html,"420 videos, 15 contents","9,750 continuous and 9,750 retrospective scores",VQA STREAMING SYNTHETIC,Adaptive streaming QoE driven by real network traces and client adaptation,video
Waterloo SQoE-IV,2020,arXiv,https://arxiv.org/abs/2008.08804,https://ieee-dataport.org/open-access/waterloo-streaming-quality-experience-database-iv,"1,350 videos","QoE 0 to 100, 92 subjects across three device classes",VQA STREAMING SYNTHETIC,"Large adaptive-streaming QoE study across devices, encoders and algorithms",video
BVI-DVC,2020,arXiv,https://arxiv.org/abs/2003.13552,https://data.bris.ac.uk/data/dataset/3h0hduxrq4awq2ffvhabjzbzi1,"800 sequences, 270p to 2160p","none; a training set, no MOS",VQA COMPRESSION SYNTHETIC,Video coding training set for CNN-based compression; 772 sequences released,video
UGC-VIDEO,2020,MIPR,https://arxiv.org/abs/1908.11517,,50 source videos plus transcoded variants,subjective MOS,VQA UGC COMPRESSION,Short-form UGC re-encoded at several codecs and quantisation levels,video
CGVDS,2020,MMSys,https://doi.org/10.1145/3339825.3391872,https://github.com/stootaghaj/CGVDS,"270 videos, 480p to 1080p",MOS from over 100 subjects,VQA GAMING SYNTHETIC,"Cloud-gaming encodes rated for quality, fragmentation and discontinuity",video
LIVE-VQC,2019,TIP,https://arxiv.org/abs/1803.01761,https://live.ece.utexas.edu/research/LIVEVQC/index.html,"585 videos, 240p to 1080p","over 205,000 scores from 4,776 subjects",VQA UGC AUTHENTIC,Real in-capture UGC from 101 devices; the largest video study of its time,video
YouTube-UGC,2019,MMSP,https://arxiv.org/abs/1904.06457,https://media.withyoutube.com/,"1,500 videos, 360p to 4K, 15 categories","crowdsourced MOS from over 8,000 raters",VQA UGC COMPRESSION,Creative-Commons YouTube sample built for compression and quality research,video
Waterloo SQoE-III,2018,TBC,https://ieee-dataport.org/open-access/waterloo-streaming-quality-experience-database-iii,https://ieee-dataport.org/open-access/waterloo-streaming-quality-experience-database-iii,"470 videos, 20 references",MOS from 34 subjects,VQA STREAMING SYNTHETIC,Six adaptive-bitrate algorithms across 13 network conditions,video
GamingVideoSET,2018,NetGames,https://ieeexplore.ieee.org/document/8463362/,,"600 videos, 24 raw and 576 distorted, 1080p",subjective MOS under ITU-T P.910,VQA GAMING SYNTHETIC,"Six games at three resolutions and five bitrates, H.264 encoded",video
LIVE-Qualcomm,2018,TCSVT,https://live.ece.utexas.edu/research/incaptureDatabase/index.html,https://live.ece.utexas.edu/research/incaptureDatabase/index.html,208 videos from 8 devices,MOS from 39 subjects,VQA UGC AUTHENTIC,"In-capture mobile distortion: focus, exposure and stabilisation failures",video
KoNViD-1k,2017,QoMEX,https://www.uni-konstanz.de/mmsp/pubsys/publishedFiles/HoHaJe17.pdf,https://database.mmsp-kn.de/konvid-1k-database.html,"1,200 videos at 960x540",crowdsourced MOS on a 1 to 5 scale,VQA UGC AUTHENTIC,Sampled from YFCC100M using six quality-diversity attributes,video
LIVE-NFLX-I,2017,TIP,https://live.ece.utexas.edu/research/LIVE_NFLXStudy/nflx_index.html,https://live.ece.utexas.edu/research/LIVE_NFLXStudy/nflx_index.html,112 videos at 1080p,MOS from over 55 subjects,VQA STREAMING SYNTHETIC,Handcrafted compression and rebuffering playout patterns on mobile,video
CVD2014,2016,TIP,https://ieeexplore.ieee.org/document/7464299/,https://researchportal.helsinki.fi/en/datasets/cvd2014-a-database-for-evaluating-no-reference-video-quality-asse/,234 videos from 78 cameras,MOS from 210 observers,VQA UGC AUTHENTIC,Real camera in-capture distortion rather than synthetic post-processing,video
CSIQ Video,2014,JEI,https://doi.org/10.1117/1.JEI.23.1.013016,,"240 videos, 12 references, 832x480",DMOS from 35 subjects,VQA SYNTHETIC,Compression and transmission distortion at several severity levels,video
LIVE Mobile,2012,JSTSP,https://live.ece.utexas.edu/research/quality/live_mobile_video.html,https://live.ece.utexas.edu/research/quality/live_mobile_video.html,"210 videos, 10 references, 720p","about 5,300 scores from over 50 subjects",VQA SYNTHETIC,"Mobile and tablet study of compression, packet loss, stalls and rate adaptation",video
LIVE VQA,2010,TIP,https://live.ece.utexas.edu/publications/2010/ks_tip_june10.pdf,https://live.ece.utexas.edu/research/Quality/live_video.html,"160 videos, 10 references, 768x432",DMOS from 38 subjects,VQA SYNTHETIC,"The foundational video set: wireless, IP, MPEG-2 and H.264 distortion",video
VQEG HD3,2010,VQEG,https://vqeg.org/projects/hdtv,https://www.cdvl.org/,"72 videos, 9 sources, 1080i and 1080p",MOS from 24 subjects,VQA SYNTHETIC,HDTV validation set encoded between 1 and 15 Mbps,video
EPFL-PoliMI,2009,QoMEX,https://vqa.como.polimi.it/,https://vqa.como.polimi.it/,"156 videos, 78 CIF and 78 4CIF",MOS from 40 subjects,VQA SYNTHETIC,H.264 packet loss simulated over a noisy transmission channel,video
