name,title,year,venue,paper_url,code_url,tags,note,category
NLPD,Perceptual Image Quality Assessment Using a Normalized Laplacian Pyramid,2016,HVEI,https://doi.org/10.2352/ISSN.2470-1173.2016.16.HVEI-103,https://github.com/Valerolaparra/NLPD,IQA FR CLASSICAL,Laplacian pyramid with local gain control mimics early visual-system nonlinearities,fr-iqa
VSI,VSI: A Visual Saliency-Induced Index for Perceptual Image Quality Assessment,2014,TIP,https://doi.org/10.1109/TIP.2014.2346028,,IQA FR CLASSICAL,Uses visual saliency both as a local quality feature and as a pooling weight,fr-iqa
GMSD,Gradient Magnitude Similarity Deviation: A Highly Efficient Perceptual Image Quality Index,2014,TIP,https://arxiv.org/abs/1308.3052,https://www4.comp.polyu.edu.hk/~cslzhang/IQA/GMSD/GMSD.htm,IQA FR CLASSICAL,Pixel-wise gradient similarity with standard-deviation pooling; fast and competitive,fr-iqa
FSIM,FSIM: A Feature Similarity Index for Image Quality Assessment,2011,TIP,https://doi.org/10.1109/TIP.2011.2109730,https://www4.comp.polyu.edu.hk/~cslzhang/IQA/FSIM/FSIM.htm,IQA FR CLASSICAL,"Phase congruency as the primary feature, gradient magnitude as the secondary feature",fr-iqa
MAD,Most Apparent Distortion: Full-Reference Image Quality Assessment and the Role of Strategy,2010,JEI,https://doi.org/10.1117/1.3267105,,IQA FR CLASSICAL,Combines detection-based and appearance-based strategies across distortion severities,fr-iqa
PSNR,Scope of Validity of PSNR in Image/Video Quality Assessment,2008,EL,https://doi.org/10.1049/el:20080522,,IQA FR CLASSICAL,The MSE-based baseline; this paper maps where PSNR does and does not track perception,fr-iqa
VSNR,VSNR: A Wavelet-Based Visual Signal-to-Noise Ratio for Natural Images,2007,TIP,https://doi.org/10.1109/TIP.2007.901820,,IQA FR CLASSICAL,Wavelet contrast-threshold model of near- and supra-threshold distortion visibility,fr-iqa
VIF,Image Information and Visual Quality,2006,TIP,https://doi.org/10.1109/TIP.2005.859378,https://live.ece.utexas.edu/research/quality/VIF.htm,IQA FR CLASSICAL,Models source and distortion as information channels; scores shared image information,fr-iqa
SSIM,Image Quality Assessment: From Error Visibility to Structural Similarity,2004,TIP,https://doi.org/10.1109/TIP.2003.819861,https://www.cns.nyu.edu/~lcv/ssim/,IQA FR CLASSICAL,"Structural similarity across local luminance, contrast and structure; the field's reference point",fr-iqa
MS-SSIM,Multiscale Structural Similarity for Image Quality Assessment,2003,Asilomar,https://doi.org/10.1109/ACSSC.2003.1292216,https://www.cns.nyu.edu/~lcv/ssim/,IQA FR CLASSICAL,"Multiscale extension of SSIM, calibrated across scales for varying viewing conditions",fr-iqa
FGResQ,Fine-grained Image Quality Assessment for Perceptual Image Restoration,2026,AAAI,https://arxiv.org/abs/2508.14475,https://github.com/sxfly99/FGResQ,IQA NR DEEP,"Fine-grained NR-IQA model with the FGRestore dataset, targeting restored-image quality",nr-iqa
QCN,Blind Image Quality Assessment Based on Geometric Order Learning,2024,CVPR,https://openaccess.thecvf.com/content/CVPR2024/papers/Shin_Blind_Image_Quality_Assessment_Based_on_Geometric_Order_Learning_CVPR_2024_paper.pdf,https://github.com/nhshin-mcl/QCN,IQA NR DEEP TRANSFORMER,Orders feature vectors by quality using comparison transformers and learned score pivots,nr-iqa
TOPIQ,TOPIQ: A Top-Down Approach From Semantics to Distortions for Image Quality Assessment,2024,TIP,https://arxiv.org/abs/2308.03060,https://github.com/chaofengc/IQA-PyTorch,IQA NR FR DEEP TRANSFORMER,Semantic attention guides distortion localisation; ships both FR and NR variants,nr-iqa
GRepQ,Learning Generalizable Perceptual Representations for Data-Efficient No-Reference IQA,2024,WACV,https://arxiv.org/abs/2312.04838,https://github.com/suhas-srinath/GRepQ,IQA NR CLIP,Self-supervised CLIP encoders contrast quality groups for few-shot NR-IQA,nr-iqa
ARNIQA,ARNIQA: Learning Distortion Manifold for Image Quality Assessment,2024,WACV,https://arxiv.org/abs/2310.14918,https://github.com/miccunifi/ARNIQA,IQA NR DEEP,Self-supervised contrastive encoder learns a distortion manifold for blind scoring,nr-iqa
QualiCLIP,Quality-Aware Image-Text Alignment for Opinion-Unaware Image Quality Assessment,2024,arXiv,https://arxiv.org/abs/2403.11176,https://github.com/miccunifi/QualiCLIP,IQA NR CLIP,"Quality-aware CLIP fine-tuning with antonym prompts, needs no MOS labels",nr-iqa
BIQA-CL,Task-Specific Normalization for Continual Learning of Blind Image Quality Models,2024,TIP,https://arxiv.org/abs/2102.09717,https://github.com/zwx8981/BIQA_CL,IQA NR DEEP,Continual learning across IQA datasets via task-specific batch normalisation,nr-iqa
LIQE,Blind Image Quality Assessment via Vision-Language Correspondence: A Multitask Learning Perspective,2023,CVPR,https://arxiv.org/abs/2303.14968,https://github.com/zwx8981/LIQE,IQA NR CLIP TRANSFORMER,"Multitask CLIP correspondence across scene, distortion and quality-level text prompts",nr-iqa
Re-IQA,Re-IQA: Unsupervised Learning for Image Quality Assessment in the Wild,2023,CVPR,https://arxiv.org/abs/2304.00451,https://github.com/avinabsaha/ReIQA,IQA NR DEEP,Dual contrastive encoders separate content from quality-aware unsupervised features,nr-iqa
CLIP-IQA,Exploring CLIP for Assessing the Look and Feel of Images,2023,AAAI,https://arxiv.org/abs/2207.12396,https://github.com/IceClear/CLIP-IQA,IQA NR CLIP,Zero-shot quality and abstract-perception scoring via CLIP antonym prompt pairs,nr-iqa
DEIQT,Data-Efficient Image Quality Assessment with Attention-Panel Decoder,2023,AAAI,https://arxiv.org/abs/2304.04952,https://github.com/narthchin/DEIQT,IQA NR DEEP TRANSFORMER,Transformer attention-panel decoder reaches strong accuracy from limited labels,nr-iqa
MANIQA,MANIQA: Multi-dimension Attention Network for No-Reference Image Quality Assessment,2022,CVPRW,https://arxiv.org/abs/2204.08958,https://github.com/IIGROUP/MANIQA,IQA NR DEEP TRANSFORMER,ViT features with channel and spatial attention; won the NTIRE 2022 NR track,nr-iqa
TReS,"No-Reference Image Quality Assessment via Transformers, Relative Ranking, and Self-Consistency",2022,WACV,https://arxiv.org/abs/2108.06858,https://github.com/isalirezag/TReS,IQA NR DEEP TRANSFORMER,CNN and transformer branches with relative-ranking and self-consistency losses,nr-iqa
CONTRIQUE,Image Quality Assessment Using Contrastive Learning,2022,TIP,https://arxiv.org/abs/2110.13266,https://github.com/pavancm/CONTRIQUE,IQA NR DEEP,"Contrastive pretraining predicts distortion type and degree, then linear-maps to quality",nr-iqa
MUSIQ,MUSIQ: Multi-scale Image Quality Transformer,2021,ICCV,https://arxiv.org/abs/2108.05997,https://github.com/google-research/google-research/tree/master/musiq,IQA NR DEEP TRANSFORMER,Multi-scale transformer handles native resolution and aspect ratio without cropping,nr-iqa
UNIQUE,Uncertainty-Aware Blind Image Quality Assessment in the Laboratory and Wild,2021,TIP,https://arxiv.org/abs/2005.13983,https://github.com/zwx8981/UNIQUE,IQA NR DEEP,Unified model trained across several IQA datasets with pairwise learning and uncertainty,nr-iqa
DBCNN,Blind Image Quality Assessment Using a Deep Bilinear Convolutional Neural Network,2020,TCSVT,https://arxiv.org/abs/1907.02665,https://github.com/zwx8981/DBCNN-PyTorch,IQA NR DEEP,Bilinear pooling fuses synthetic-distortion and authentic-distortion CNN features,nr-iqa
HyperIQA,Blindly Assess Image Quality in the Wild Guided by a Self-Adaptive Hyper Network,2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/papers/Su_Blindly_Assess_Image_Quality_in_the_Wild_Guided_by_a_CVPR_2020_paper.pdf,https://github.com/SSL92/hyperIQA,IQA NR DEEP,Hypernetwork generates content-adaptive perception rules for authentic distortion,nr-iqa
MetaIQA,MetaIQA: Deep Meta-Learning for No-Reference Image Quality Assessment,2020,CVPR,https://arxiv.org/abs/2004.05508,https://github.com/zhuhancheng/MetaIQA,IQA NR DEEP,"Meta-learns a shared distortion prior, then fast-adapts to unseen distortion types",nr-iqa
PaQ-2-PiQ,From Patches to Pictures (PaQ-2-PiQ): Mapping the Perceptual Space of Picture Quality,2020,CVPR,https://arxiv.org/abs/1912.10088,https://github.com/baidut/PaQ-2-PiQ,IQA NR DEEP AUTHENTIC,Region-based model trained on 40K real images with 4M patch quality judgements,nr-iqa
RankIQA,RankIQA: Learning from Rankings for No-Reference Image Quality Assessment,2017,ICCV,https://arxiv.org/abs/1707.08347,https://github.com/xialeiliu/RankIQA,IQA NR DEEP,Pretrains a Siamese ranking network on synthetically ordered distortion pairs,nr-iqa
FRIQUEE,Perceptual Quality Prediction on Authentically Distorted Images Using a Bag of Features Approach,2017,JoV,https://arxiv.org/abs/1609.04757,https://github.com/utlive/FRIQUEE,IQA NR CLASSICAL AUTHENTIC,"A large bag of NSS features across colour spaces, aimed at authentic camera distortion",nr-iqa
HOSA,Blind Image Quality Assessment Based on High Order Statistics Aggregation,2016,TIP,https://doi.org/10.1109/TIP.2016.2585880,,IQA NR CLASSICAL,"Small codebook with soft-assigned mean, variance and skewness aggregation",nr-iqa
IL-NIQE,A Feature-Enriched Completely Blind Image Quality Evaluator,2015,TIP,https://www4.comp.polyu.edu.hk/~cslzhang/paper/IL-NIQE.pdf,https://www4.comp.polyu.edu.hk/~cslzhang/IQA/ILNIQE/ILNIQE.htm,IQA NR CLASSICAL,"Opinion-unaware model adding gradient, colour and log-Gabor statistics to NIQE",nr-iqa
NIQE,Making a Completely Blind Image Quality Analyzer,2013,SPL,https://live.ece.utexas.edu/research/Quality/niqe_spl.pdf,https://github.com/utlive/niqe,IQA NR CLASSICAL,Opinion- and distortion-unaware: needs no human ratings and no distorted training images,nr-iqa
BLIINDS-II,Blind Image Quality Assessment: A Natural Scene Statistics Approach in the DCT Domain,2012,TIP,https://live.ece.utexas.edu/publications/2012/saad_2012_tip.pdf,https://github.com/utlive/BLIINDS2,IQA NR CLASSICAL,NSS model of local DCT coefficients with a simple probabilistic quality predictor,nr-iqa
BRISQUE,No-Reference Image Quality Assessment in the Spatial Domain,2012,TIP,https://live.ece.utexas.edu/publications/2012/TIP%20BRISQUE.pdf,https://github.com/utlive/BRISQUE,IQA NR CLASSICAL,"Spatial-domain NSS features from locally normalised luminance, no transform required",nr-iqa
CORNIA,Unsupervised Feature Learning Framework for No-Reference Image Quality Assessment,2012,CVPR,https://doi.org/10.1109/CVPR.2012.6247789,https://github.com/HuiZeng/BIQA_Toolbox,IQA NR CLASSICAL,"Codebook learned from raw patches by k-means, soft-assignment encoding, max pooling",nr-iqa
DIIVINE,Blind Image Quality Assessment: From Natural Scene Statistics to Perceptual Quality,2011,TIP,https://live.ece.utexas.edu/publications/2011/moorthy_tip_2011.pdf,https://github.com/utlive/DIIVINE,IQA NR CLASSICAL,"Two stages: identify the distortion type, then apply distortion-specific scoring",nr-iqa
RALI,Reasoning as Representation: Rethinking Visual Reinforcement Learning in Image Quality Assessment,2026,ICLR,https://arxiv.org/abs/2510.11369,https://github.com/xuanyuzhang21/RALI,IQA MLLM RL REASONING,Shows RL-trained IQA models convert visual features into aligned text representations,mllm
PreResQ-R1,PreResQ-R1: Towards Fine-Grained Rank-and-Score Reinforcement Learning for Visual Quality Assessment,2026,EMNLP,https://arxiv.org/abs/2511.05393,,IQA VQA MLLM RL REASONING,Disentangled preference-response GRPO unifying score regression and ranking,mllm
VQ-Insight,VQ-Insight: Teaching VLMs for AI-Generated Video Quality Understanding via Progressive Visual RL,2026,AAAI,https://arxiv.org/abs/2506.18564,https://github.com/xuanyuzhang21/VQ-Insight,VQA MLLM RL REASONING AIGC,Progressive GRPO from image scoring to generated-video quality with multi-dimensional rewards,mllm
VQAThinker,VQAThinker: Exploring Generalizable and Explainable Video Quality Assessment via Reinforcement Learning,2026,AAAI,https://arxiv.org/abs/2508.06051,https://github.com/clh124/VQAThinker,VQA MLLM RL REASONING,"GRPO reasoning framework with bell-shaped, ranking and temporal rewards",mllm
Refine-IQA,Refine-IQA: Multi-Stage Reinforcement Finetuning for Perceptual Image Quality Assessment,2026,AAAI,https://arxiv.org/abs/2508.03763,,IQA MLLM RL REASONING,Multi-stage RFT with a reward-supervised think process and the Refine-Perception-20K set,mllm
Q-Ponder,Q-Ponder: A Unified Training Pipeline for Reasoning-based Visual Quality Assessment,2025,arXiv,https://arxiv.org/abs/2506.05384,https://github.com/vivoCameraResearch/Q-Ponder,IQA VQA MLLM RL REASONING,"Cold-start SFT then GRPO, jointly optimising quality scoring and reasoning consistency",mllm
VisualQuality-R1,VisualQuality-R1: Reasoning-Induced Image Quality Assessment via Reinforcement Learning to Rank,2025,NeurIPS,https://arxiv.org/abs/2505.14460,https://github.com/TianheWu/VisualQuality-R1,IQA MLLM RL REASONING,GRPO with Thurstone comparative rewards; an early open reasoning NR-IQA model,mllm
Q-Insight,Q-Insight: Understanding Image Quality via Visual Reinforcement Learning,2025,NeurIPS,https://arxiv.org/abs/2503.22679,https://github.com/bytedance/Q-Insight,IQA MLLM RL REASONING,GRPO jointly optimises score regression and degradation perception with reasoning traces,mllm
DeQA-Score,Teaching Large Language Models to Regress Accurate Image Quality Scores Using Score Distribution,2025,CVPR,https://arxiv.org/abs/2501.11561,https://github.com/zhiyuanyou/DeQA-Score,IQA MLLM,Discretises score distributions into soft labels so MLLMs can regress accurate scores,mllm
LMM4LMM,LMM4LMM: Benchmarking and Evaluating Large-multimodal Image Generation with LMMs,2025,ICCV,https://arxiv.org/abs/2504.08358,https://github.com/IntMeGroup/LMM4LMM,IQA MLLM BENCHMARK AIGC,All-in-one LMM metric plus the EvalMi-50K benchmark for text-to-image perception,mllm
Q-Eval,Q-Eval-100K: Evaluating Visual Quality and Alignment Level for Text-to-Vision Content,2025,CVPR,https://arxiv.org/abs/2503.02357,https://github.com/zzc-1998/Q-Eval,IQA VQA MLLM BENCHMARK AIGC,100K-instance MOS dataset and scoring model for text-to-image and text-to-video,mllm
A-Bench,A-Bench: Are LMMs Masters at Evaluating AI-generated Images?,2025,ICLR,https://arxiv.org/abs/2406.03070,https://github.com/Q-Future/A-Bench,IQA MLLM BENCHMARK AIGC,Tests 18 LMMs on semantic understanding and quality of AI-generated images,mllm
Q-Bench-Video,Q-Bench-Video: Benchmarking the Video Quality Understanding of LMMs,2025,CVPR,https://arxiv.org/abs/2409.20063,https://github.com/Q-Future/Q-Bench-Video,VQA MLLM BENCHMARK,"Spans natural, generated and CG video with open-ended and pairwise quality questions",mllm
Q-Ground,Q-Ground: Image Quality Grounding with Large Multi-modality Models,2024,ACMMM,https://arxiv.org/abs/2407.17035,https://github.com/Q-Future/Q-Ground,IQA MLLM REASONING,"Fine-grained quality grounding over image, text and distortion-mask triplets",mllm
Co-Instruct,Towards Open-Ended Visual Quality Comparison,2024,ECCV,https://arxiv.org/abs/2402.16641,https://github.com/Q-Future/Co-Instruct,IQA MLLM,Multi-image quality comparison with MICBench; beats GPT-4V on open-ended comparison,mllm
Q-Instruct,Q-Instruct: Improving Low-level Visual Abilities for Multi-modality Foundation Models,2024,CVPR,https://arxiv.org/abs/2311.06783,https://github.com/Q-Future/Q-Instruct,IQA VQA MLLM,200K instruction-tuning set built from 58K human low-level visual feedback records,mllm
Q-Align,Q-Align: Teaching LMMs for Visual Scoring via Discrete Text-Defined Levels,2024,ICML,https://arxiv.org/abs/2312.17090,https://github.com/Q-Future/Q-Align,IQA VQA MLLM,"Unifies image quality, aesthetics and video scoring through text-defined rating levels",mllm
DepictQA,Depicting Beyond Scores: Advancing Image Quality Assessment through Multi-modal Language Models,2024,ECCV,https://arxiv.org/abs/2312.08962,https://github.com/XPixelGroup/DepictQA,IQA MLLM REASONING,Language-based comparative and descriptive IQA rather than score-only assessment,mllm
AesExpert,AesExpert: Towards Multi-modality Foundation Model for Image Aesthetics Perception,2024,ACMMM,https://arxiv.org/abs/2404.09624,https://github.com/yipoh/AesExpert,IQA MLLM AESTHETIC,AesMMIT instruction set of 409K records for aesthetic perception,mllm
Compare2Score,Adaptive Image Quality Assessment via Teaching Large Multimodal Model to Compare,2024,NeurIPS,https://arxiv.org/abs/2405.19298,https://github.com/Q-Future/Compare2Score,IQA MLLM,Turns pairwise MOS comparisons into continuous scores by soft comparison and MAP,mllm
Q-Boost,Q-Boost: On Visual Quality Assessment Ability of Low-level Multi-Modality Foundation Models,2024,ICMEW,https://arxiv.org/abs/2312.15300,,IQA VQA MLLM,Triadic-tone prompting and multi-prompt ensembling to lift MLLM scoring accuracy,mllm
VideoScore,VideoScore: Building Automatic Metrics to Simulate Fine-grained Human Feedback for Video Generation,2024,EMNLP,https://arxiv.org/abs/2406.15252,https://github.com/TIGER-AI-Lab/VideoScore,VQA MLLM BENCHMARK AIGC,VideoFeedback set of 37.6K videos; reports 77.1 Spearman correlation with humans,mllm
Q-Bench,Q-Bench: A Benchmark for General-Purpose Foundation Models on Low-level Vision,2024,ICLR,https://arxiv.org/abs/2309.14181,https://github.com/Q-Future/Q-Bench,IQA VQA MLLM BENCHMARK,"Evaluates MLLMs on low-level perception, description and quality assessment",mllm
HDR-Q,Seeing Beyond 8bits: Subjective and Objective Quality Assessment of HDR-UGC Videos,2026,CVPR,https://arxiv.org/abs/2603.00938,https://github.com/shreshthsaini/Beyond8Bits,HDR VQA UGC NR MLLM DEEP,First multimodal-LLM no-reference quality model for HDR user-generated video,hdr
BrightRate,BrightRate: Quality Assessment for User-Generated HDR Videos,2026,WACV,https://openaccess.thecvf.com/content/WACV2026/papers/Saini_BrightRate_Quality_Assessment_for_User-Generated_HDR_Videos_WACV_2026_paper.pdf,https://github.com/shreshthsaini/BrightVQ,HDR VQA UGC NR DEEP,"CONTRIQUE, CLIP and HDR luminance features regressed to MOS for UGC HDR video",hdr
Cut-FUNQUE,Cut-FUNQUE: An Objective Quality Model for Compressed Tone-Mapped HDR Videos,2025,SPIC,https://arxiv.org/abs/2404.13452,,HDR VQA FR CLASSICAL COMPRESSION,"Extends FUNQUE to compressed, tone-mapped HDR video pipelines",hdr
CompressedVQA-HDR,CompressedVQA-HDR: Generalized Full-Reference and No-Reference Quality Assessment Models for Compressed HDR Videos,2025,ICMEW,https://arxiv.org/abs/2507.11900,https://github.com/sunwei925/CompressedVQA-HDR,HDR VQA FR NR DEEP COMPRESSION,Swin-Transformer FR and SigLip2 NR models; won the ICME 2025 HDR/SDR challenge FR track,hdr
Blind HDR-IQA,Blind HDR Image Quality Assessment Based on Aggregating Perception and Inference Features,2025,Sci Rep,https://doi.org/10.1038/s41598-025-94005-1,,HDR IQA NR DEEP,Multi-scale Retinex perceptual features fused with VGG16 deep features,hdr
ColorVideoVDP,"ColorVideoVDP: A Visual Difference Predictor for Image, Video and Display Distortions",2024,TOG,https://doi.org/10.1145/3658144,https://github.com/gfxdisp/ColorVideoVDP,HDR IQA VQA FR CLASSICAL,Chromatic and achromatic spatiotemporal metric covering HDR and AR/VR display distortions,hdr
HIDRO-VQA,HIDRO-VQA: High Dynamic Range Oracle for Video Quality Assessment,2024,WACVW,https://arxiv.org/abs/2311.11059,https://github.com/avinabsaha/HIDRO-VQA,HDR VQA NR DEEP,Self-supervised contrastive fine-tuning transfers SDR quality features into the HDR domain,hdr
HDR-ChipQA,HDR-ChipQA: No-Reference Quality Assessment on High Dynamic Range Videos,2024,SPIC,https://doi.org/10.1016/j.image.2024.117191,,HDR VQA NR CLASSICAL,NSS space-time chips with an expansive nonlinearity that emphasises luminance extremes,hdr
FUNQUE+,A FUNQUE Approach to the Quality Assessment of Compressed HDR Videos,2024,PCS,https://arxiv.org/abs/2312.08524,,HDR VQA FR CLASSICAL COMPRESSION,"Wavelet-domain shared-feature framework, more accurate and cheaper than VMAF on HDR",hdr
HDR-VDP-3,"HDR-VDP-3: A Multi-Metric for Predicting Image Differences, Quality and Contrast Distortions in High Dynamic Range and Regular Content",2023,arXiv,https://arxiv.org/abs/2304.13625,https://sourceforge.net/projects/hdrvdp/,HDR IQA VQA FR CLASSICAL,"Unified visibility, quality and contrast-distortion metric spanning HDR and SDR",hdr
PU21,PU21: A Novel Perceptually Uniform Encoding for Adapting Existing Quality Metrics for HDR,2021,PCS,https://doi.org/10.1109/PCS50896.2021.9477471,https://github.com/gfxdisp/pu21,HDR IQA FR PU CLASSICAL,"Revised PU encoding fit to 10,000 cd/m2, underlying PU-PSNR, PU-SSIM and PU-FSIM",hdr
FovVideoVDP,FovVideoVDP: A Visible Difference Predictor for Wide Field-of-View Video,2021,TOG,https://doi.org/10.1145/3450626.3459831,https://github.com/gfxdisp/FovVideoVDP,HDR VQA FR CLASSICAL,"Foveated spatio-temporal CSF metric for wide field-of-view, HDR and VR displays",hdr
HDR-VQM,HDR-VQM: An Objective Quality Measure for High Dynamic Range Video,2015,SPIC,https://doi.org/10.1016/j.image.2015.04.009,https://github.com/mperreir/HDR-VQM,HDR VQA FR CLASSICAL,Spatio-temporal frequency decomposition; one of the first HDR video quality measures,hdr
HDR-VDP-2,HDR-VDP-2: A Calibrated Visual Metric for Visibility and Quality Predictions in All Luminance Conditions,2011,TOG,https://doi.org/10.1145/1964921.1964935,https://sourceforge.net/projects/hdrvdp/,HDR IQA FR CLASSICAL,"Visual-system model calibrated across the luminance range, predicting visibility and quality",hdr
PU encoding,Extending Quality Metrics to Full Luminance Range Images,2008,HVEI,https://doi.org/10.1117/12.765095,,HDR IQA FR PU CLASSICAL,The original perceptually uniform encoding that lets PSNR and SSIM run on HDR luminance,hdr
FineVQ,FineVQ: Fine-Grained User Generated Content Video Quality Assessment,2025,CVPR,https://arxiv.org/abs/2412.19238,https://github.com/IntMeGroup/FineVQ,VQA NR UGC DEEP MLLM,Fine-grained UGC scoring across multiple dimensions with quality-aware LMM reasoning,vqa
T2VQA,Subjective-Aligned Dataset and Metric for Text-to-Video Quality Assessment,2024,ACMMM,https://arxiv.org/abs/2403.11956,https://github.com/QMME/T2VQA,VQA NR DEEP AIGC,Text-to-video quality metric trained on the 10K-video T2VQA-DB,vqa
ModularBVQA,Modular Blind Video Quality Assessment,2024,CVPR,https://arxiv.org/abs/2402.19276,https://github.com/winwinwenwen77/ModularBVQA,VQA NR UGC DEEP,Modular design that explicitly models resolution and frame-rate sensitivity,vqa
KSVQE,KVQ: Kwai Video Quality Assessment for Short-form Videos,2024,CVPR,https://arxiv.org/abs/2402.07220,,VQA NR UGC DEEP,Short-form UGC scoring with CLIP-based content and distortion understanding,vqa
MinimalisticVQA,Analysis of Video Quality Datasets via Design of Minimalistic Video Quality Models,2024,TPAMI,https://arxiv.org/abs/2307.13981,https://github.com/sunwei925/MinimalisticVQA,VQA NR UGC DEEP,Probes dataset bias using deliberately bare-bones models built from minimal parts,vqa
Ada-DQA,Ada-DQA: Adaptive Diverse Quality-aware Feature Acquisition for Video Quality Assessment,2023,ACMMM,https://arxiv.org/abs/2308.00729,,VQA NR UGC DEEP,Adaptively pools diverse quality-aware features from frozen pretrained backbones,vqa
Zoom-VQA,"Zoom-VQA: Patches, Frames and Clips Integration for Video Quality Assessment",2023,CVPRW,https://arxiv.org/abs/2304.06440,https://github.com/k-zha14/Zoom-VQA,VQA NR UGC DEEP,"Integrates patch, frame and clip levels; second place in the NTIRE 2023 challenge",vqa
DOVER,Exploring Video Quality Assessment on User Generated Contents from Aesthetic and Technical Perspectives,2023,ICCV,https://arxiv.org/abs/2211.04894,https://github.com/VQAssessment/DOVER,VQA NR UGC DEEP AESTHETIC,"Separates aesthetic from technical quality, with the DIVIDE-3k database",vqa
FasterVQA,Neighbourhood Representative Sampling for Efficient End-to-end Video Quality Assessment,2023,TPAMI,https://arxiv.org/abs/2210.05357,https://github.com/VQAssessment/FAST-VQA-and-FasterVQA,VQA NR UGC DEEP,Extends FAST-VQA with spatial-temporal grid sampling for a large efficiency gain,vqa
FAST-VQA,FAST-VQA: Efficient End-to-end Video Quality Assessment with Fragment Sampling,2022,ECCV,https://arxiv.org/abs/2207.02595,https://github.com/VQAssessment/FAST-VQA-and-FasterVQA,VQA NR UGC DEEP TRANSFORMER,Fragment-sampling transformer that cuts compute by orders of magnitude,vqa
SimpleVQA,A Deep Learning based No-reference Quality Assessment Model for UGC Videos,2022,ACMMM,https://arxiv.org/abs/2204.14047,https://github.com/sunwei925/SimpleVQA,VQA NR UGC DEEP,"End-to-end spatial features plus low-resolution motion, deliberately minimal",vqa
BVQA-PT,Blindly Assess Quality of In-the-Wild Videos via Quality-aware Pre-training and Motion Perception,2022,TCSVT,https://arxiv.org/abs/2108.08505,https://github.com/zwx8981/TCSVT-2022-BVQA,VQA NR UGC DEEP,Transfers IQA pretraining and action-recognition motion features into blind VQA,vqa
PVQ,Patch-VQ: Patching Up the Video Quality Problem,2021,CVPR,https://arxiv.org/abs/2011.13544,https://github.com/baidut/PatchVQ,VQA NR UGC DEEP,Local-to-global space-time patch model trained on the LSVQ database,vqa
MDTVSFA,Unified Quality Assessment of In-the-Wild Videos with Mixed Datasets Training,2021,IJCV,https://arxiv.org/abs/2011.04263,https://github.com/lidq92/MDTVSFA,VQA NR UGC DEEP,Mixed-dataset training with perceptual scale alignment across four UGC databases,vqa
